Date,Close,High,Low,Open,Volume,return,direction
2025-06-25,25244.75,25266.80078125,25125.05078125,25150.349609375,260600,0.008001820520425307,1
2025-06-26,25549.0,25565.30078125,25259.900390625,25268.94921875,428900,0.012052010814129765,1
2025-06-27,25637.80078125,25654.19921875,25523.55078125,25576.650390625,564000,0.003475704773181043,0
2025-06-30,25517.05078125,25669.349609375,25473.30078125,25661.650390625,271000,-0.004709842354665206,1
2025-07-01,25541.80078125,25593.400390625,25501.80078125,25551.349609375,260700,0.0009699396772837598,0
2025-07-02,25453.400390625,25608.099609375,25378.75,25588.30078125,309800,-0.0034610085397696055,0
2025-07-03,25405.30078125,25587.5,25384.349609375,25505.099609375,293400,-0.00188971251922454,1
2025-07-04,25461.0,25470.25,25331.650390625,25428.849609375,193500,0.0021924250859925998,1
2025-07-07,25461.30078125,25489.80078125,25407.25,25450.44921875,196100,1.1813410706551508e-05,1
2025-07-08,25522.5,25548.05078125,25424.150390625,25427.849609375,210400,0.0024036171315751087,0
2025-07-09,25476.099609375,25548.69921875,25424.349609375,25514.599609375,239100,-0.00181801902732881,0
2025-07-10,25355.25,25524.05078125,25340.44921875,25511.650390625,219600,-0.004743646446198069,0
2025-07-11,25149.849609375,25322.44921875,25129.0,25255.5,250000,-0.008100901810276007,0
2025-07-14,25082.30078125,25151.099609375,25001.94921875,25149.5,259500,-0.002685854157148504,1
2025-07-15,25195.80078125,25245.19921875,25088.44921875,25089.5,241300,0.004525103218794291,1
2025-07-16,25212.05078125,25255.30078125,25121.05078125,25196.599609375,228800,0.0006449487413033861,0
2025-07-17,25111.44921875,25238.349609375,25101.0,25230.75,243400,-0.003990217351728331,0
2025-07-18,24968.400390625,25144.599609375,24918.650390625,25108.55078125,317000,-0.0056965580472427835,1
2025-07-21,25090.69921875,25111.400390625,24882.30078125,24999.0,305200,0.004898144302865282,0
2025-07-22,25060.900390625,25182.0,25035.55078125,25166.650390625,483700,-0.0011876443882732346,1
2025-07-23,25219.900390625,25233.5,25085.5,25139.349609375,271500,0.006344544590244583,0
2025-07-24,25062.099609375,25246.25,25018.69921875,25243.30078125,338700,-0.006256994627491075,0
2025-07-25,24837.0,25010.349609375,24806.349609375,25010.349609375,278100,-0.008981674037030651,0
2025-07-28,24680.900390625,24889.19921875,24646.599609375,24782.44921875,262100,-0.006284962329387578,1
2025-07-29,24821.099609375,24847.150390625,24598.599609375,24609.650390625,284700,0.005680474234370125,1
2025-07-30,24855.05078125,24902.30078125,24771.94921875,24890.400390625,243900,0.001367835124523431,0
2025-07-31,24768.349609375,24956.5,24635.0,24642.25,346300,-0.0034882717656889994,0
2025-08-01,24565.349609375,24784.150390625,24535.05078125,24734.900390625,263400,-0.008195943742782208,1
2025-08-04,24722.75,24736.25,24554.0,24596.05078125,259300,0.006407415043054421,0
2025-08-05,24649.55078125,24733.099609375,24590.30078125,24720.25,251800,-0.0029608040671041946,0
2025-08-06,24574.19921875,24671.400390625,24539.19921875,24641.349609375,225100,-0.003056914228121266,1
2025-08-07,24596.150390625,24634.19921875,24344.150390625,24464.19921875,616700,0.0008932609229541644,0
2025-08-08,24363.30078125,24585.5,24337.5,24544.25,312600,-0.009466912735407229,1
2025-08-11,24585.05078125,24600.849609375,24347.44921875,24371.5,241100,0.009101804471857822,0
2025-08-12,24487.400390625,24702.599609375,24465.650390625,24563.349609375,237000,-0.003971941790719136,1
2025-08-13,24619.349609375,24664.55078125,24535.25,24586.19921875,236000,0.005388453516712133,0
